Task,Date,StartTime,EndTime,OperationID
Border Patrol,2024-11-09,11:38:00,20:49:00,42
Defense Setup,2024-10-22,00:37:00,02:42:00,36
Surveillance,2024-08-29,00:39:00,08:48:00,8
Covert Infiltration,2024-04-13,13:01:00,22:10:00,47
Intel Gathering,2024-04-24,11:14:00,13:18:00,15
Target Elimination,2024-11-04,16:17:00,08:58:00,21
Covert Infiltration,2025-03-15,00:05:00,12:51:00,49
Explosive Disposal,2024-07-29,01:03:00,17:59:00,11
Covert Infiltration,2024-06-24,17:37:00,21:57:00,38
Air Support,2025-02-12,03:11:00,13:59:00,46
Cyber Warfare Operation,2024-04-01,00:00:00,04:08:00,37
Surveillance,2025-01-18,09:42:00,06:26:00,32
Combat Exercise,2024-11-06,21:49:00,00:24:00,42
Supply Drop,2024-07-23,05:50:00,16:56:00,49
Reconnaissance Mission,2024-05-20,06:20:00,06:02:00,48
Night Raid,2024-04-05,13:30:00,00:09:00,49
Explosive Disposal,2024-10-11,08:12:00,15:16:00,17
Air Support,2025-01-31,18:45:00,09:48:00,6
Border Patrol,2024-06-03,15:27:00,00:38:00,27
Combat Exercise,2025-03-12,22:59:00,19:13:00,45
Target Elimination,2025-03-08,08:35:00,05:07:00,7
Combat Exercise,2024-07-19,01:43:00,10:56:00,15
Night Raid,2025-02-04,16:19:00,01:23:00,30
Night Raid,2024-11-10,07:55:00,22:17:00,44
Reconnaissance Mission,2024-07-04,01:58:00,04:35:00,2
Target Elimination,2024-07-14,22:33:00,04:18:00,34
Reconnaissance Mission,2024-08-02,06:39:00,04:55:00,25
Covert Infiltration,2024-05-11,07:15:00,15:26:00,23
Border Patrol,2024-06-16,04:08:00,03:21:00,17
Surveillance,2024-07-04,04:01:00,05:15:00,47
Explosive Disposal,2024-09-16,03:24:00,20:30:00,21
Covert Infiltration,2025-01-28,21:01:00,15:35:00,40
Air Support,2025-01-01,02:22:00,11:01:00,22
Reconnaissance Mission,2024-06-18,07:07:00,21:47:00,46
Intel Gathering,2024-12-20,02:44:00,06:14:00,4
Training Drill,2024-04-22,21:15:00,13:35:00,48
Covert Infiltration,2024-08-16,11:15:00,13:17:00,41
Defense Setup,2025-01-06,05:15:00,12:41:00,16
Night Raid,2024-10-24,16:12:00,05:47:00,42
Night Raid,2025-03-13,22:50:00,17:30:00,23
Training Drill,2024-04-19,00:51:00,20:32:00,38
Combat Exercise,2025-02-22,01:08:00,11:37:00,44
Supply Drop,2024-05-16,02:51:00,02:22:00,18
Air Support,2025-01-01,12:42:00,00:58:00,50
Border Patrol,2025-01-21,21:44:00,04:40:00,41
Training Drill,2024-04-05,04:20:00,22:44:00,49
Target Elimination,2025-03-22,07:10:00,23:55:00,20
Cyber Warfare Operation,2024-10-31,08:58:00,08:43:00,15
Border Patrol,2024-12-28,20:30:00,12:43:00,13
Night Raid,2025-03-19,13:51:00,23:50:00,34
Explosive Disposal,2025-03-23,17:42:00,09:05:00,36
Rescue Operation,2024-11-12,06:09:00,22:52:00,31
Reconnaissance Mission,2024-07-27,11:33:00,02:12:00,36
Air Support,2024-05-22,06:37:00,08:12:00,25
Rescue Operation,2025-01-19,15:07:00,21:51:00,13
Air Support,2025-03-27,05:16:00,19:38:00,30
Intel Gathering,2024-09-17,10:53:00,22:04:00,42
Surveillance,2024-05-07,05:03:00,02:47:00,48
Target Elimination,2025-03-04,14:06:00,13:35:00,42
Explosive Disposal,2024-07-31,20:29:00,14:52:00,27
Combat Exercise,2025-01-08,13:40:00,01:20:00,2
Training Drill,2024-07-13,05:18:00,20:52:00,18
Cyber Warfare Operation,2024-10-06,00:39:00,16:21:00,43
Rescue Operation,2025-02-06,14:24:00,18:13:00,4
Reconnaissance Mission,2025-03-28,05:43:00,03:02:00,6
Combat Exercise,2024-04-09,01:27:00,19:57:00,24
Target Elimination,2024-09-11,20:57:00,13:47:00,29
Cyber Warfare Operation,2024-07-03,15:47:00,21:32:00,14
Cyber Warfare Operation,2024-04-12,01:43:00,00:22:00,19
Intel Gathering,2024-10-27,02:37:00,13:11:00,43
Defense Setup,2025-03-18,02:43:00,07:49:00,29
Reconnaissance Mission,2024-12-27,11:05:00,22:41:00,32
Border Patrol,2024-11-29,03:16:00,17:09:00,41
Surveillance,2024-06-28,19:18:00,21:06:00,11
Air Support,2024-05-18,07:05:00,12:49:00,45
Air Support,2025-03-29,20:16:00,04:33:00,8
Border Patrol,2024-04-04,05:19:00,18:29:00,23
Supply Drop,2025-02-28,09:04:00,11:38:00,9
Target Elimination,2024-09-14,00:01:00,10:45:00,23
Combat Exercise,2024-05-27,09:35:00,19:21:00,29
Supply Drop,2024-06-27,13:48:00,10:44:00,10
Supply Drop,2024-09-13,22:50:00,12:24:00,35
Border Patrol,2024-09-20,16:32:00,18:56:00,49
Defense Setup,2024-05-30,09:50:00,06:56:00,31
Target Elimination,2025-01-18,20:11:00,21:08:00,29
Explosive Disposal,2025-01-21,07:38:00,19:15:00,24
Border Patrol,2025-03-17,05:28:00,04:25:00,14
Reconnaissance Mission,2024-04-23,03:36:00,23:39:00,26
Covert Infiltration,2024-06-24,17:33:00,14:27:00,27
Border Patrol,2024-04-18,14:08:00,04:07:00,33
Supply Drop,2025-02-25,06:49:00,11:20:00,14
Supply Drop,2024-05-26,06:13:00,01:10:00,30
Training Drill,2025-02-27,16:57:00,18:37:00,13
Surveillance,2024-05-29,04:32:00,18:44:00,40
Covert Infiltration,2024-07-23,13:19:00,07:25:00,18
Combat Exercise,2024-12-30,00:03:00,16:09:00,36
Intel Gathering,2025-02-17,20:51:00,13:16:00,44
Covert Infiltration,2024-08-03,01:46:00,08:06:00,47
Covert Infiltration,2024-11-25,11:44:00,17:58:00,23
Explosive Disposal,2024-11-17,04:37:00,18:19:00,36
Combat Exercise,2024-11-15,15:09:00,10:40:00,1
Rescue Operation,2024-12-18,18:43:00,18:28:00,20
Covert Infiltration,2024-10-12,14:18:00,21:28:00,22
Target Elimination,2024-05-30,04:23:00,07:22:00,23
Training Drill,2024-10-13,14:22:00,04:20:00,6
Intel Gathering,2024-07-09,16:01:00,13:18:00,38
Combat Exercise,2025-02-28,08:17:00,08:22:00,44
Training Drill,2024-12-03,06:24:00,07:04:00,22
Cyber Warfare Operation,2025-03-31,16:15:00,10:03:00,14
Supply Drop,2024-12-18,13:32:00,16:47:00,20
Target Elimination,2025-02-20,20:41:00,07:24:00,18
Target Elimination,2024-09-07,18:42:00,11:48:00,29
Rescue Operation,2025-03-04,20:12:00,07:35:00,4
Air Support,2024-06-13,09:57:00,23:09:00,9
Target Elimination,2025-02-24,12:37:00,18:59:00,39
Air Support,2024-07-14,18:15:00,04:25:00,45
Covert Infiltration,2024-12-21,16:13:00,18:04:00,7
Training Drill,2024-11-12,18:53:00,00:48:00,26
Explosive Disposal,2024-10-06,13:02:00,09:27:00,15
Combat Exercise,2024-11-13,17:29:00,12:12:00,13
Combat Exercise,2024-12-23,01:28:00,21:22:00,30
Rescue Operation,2025-01-16,03:27:00,11:05:00,47
Cyber Warfare Operation,2025-02-03,08:07:00,09:26:00,22
Air Support,2024-12-11,11:46:00,03:19:00,10
Combat Exercise,2025-01-12,05:52:00,05:12:00,13
Training Drill,2024-09-30,02:32:00,03:22:00,46
Surveillance,2024-12-19,22:46:00,23:24:00,13
Combat Exercise,2025-03-07,13:10:00,13:47:00,27
Surveillance,2024-04-04,15:33:00,05:03:00,42
Night Raid,2024-05-28,03:08:00,11:27:00,14
Target Elimination,2024-08-25,20:10:00,19:26:00,32
Border Patrol,2024-07-16,02:29:00,05:25:00,20
Cyber Warfare Operation,2024-12-07,17:25:00,15:22:00,3
Surveillance,2025-02-21,19:44:00,10:58:00,37
Night Raid,2024-11-21,16:14:00,14:21:00,5
Target Elimination,2024-08-29,17:51:00,01:12:00,22
Explosive Disposal,2024-06-10,04:55:00,04:52:00,49
Explosive Disposal,2025-03-07,02:33:00,02:30:00,42
Target Elimination,2024-11-30,18:42:00,06:02:00,26
Intel Gathering,2024-11-14,01:48:00,15:34:00,45
Air Support,2024-04-30,09:37:00,22:55:00,28
Combat Exercise,2025-03-15,12:56:00,19:28:00,27
Training Drill,2025-02-25,22:41:00,19:31:00,41
Night Raid,2024-06-29,10:49:00,13:01:00,15
Cyber Warfare Operation,2024-07-31,09:48:00,16:44:00,21
Explosive Disposal,2025-01-09,19:46:00,04:06:00,2
Supply Drop,2024-09-21,20:50:00,16:14:00,6
Defense Setup,2024-10-23,23:00:00,17:15:00,9
Surveillance,2025-02-07,10:25:00,19:22:00,27
Air Support,2024-08-16,16:01:00,19:27:00,38
Rescue Operation,2025-01-31,13:35:00,13:13:00,31
Night Raid,2024-08-26,11:39:00,17:17:00,9
Training Drill,2024-07-02,17:18:00,10:24:00,48
Target Elimination,2025-01-31,02:29:00,14:56:00,18
Supply Drop,2024-04-02,22:57:00,08:22:00,9
Defense Setup,2024-12-03,01:54:00,11:44:00,21
Explosive Disposal,2024-11-10,05:13:00,05:56:00,48
Defense Setup,2024-05-22,15:16:00,20:36:00,37
Target Elimination,2024-08-28,04:04:00,14:20:00,42
Air Support,2024-08-26,11:44:00,00:52:00,32
Air Support,2024-09-02,03:48:00,03:03:00,31
Covert Infiltration,2024-11-11,07:43:00,23:09:00,17
Cyber Warfare Operation,2024-05-28,02:19:00,18:24:00,38
Rescue Operation,2024-12-11,12:25:00,20:14:00,13
Border Patrol,2024-04-02,06:54:00,17:01:00,43
Surveillance,2024-05-03,10:24:00,07:13:00,7
Target Elimination,2025-03-14,18:18:00,08:03:00,27
Cyber Warfare Operation,2024-12-07,21:40:00,21:26:00,27
Combat Exercise,2024-09-01,03:34:00,13:50:00,26
Covert Infiltration,2025-01-30,08:39:00,08:01:00,20
Explosive Disposal,2024-11-15,07:24:00,20:33:00,46
Explosive Disposal,2024-12-25,10:23:00,22:39:00,40
Reconnaissance Mission,2024-11-28,05:05:00,16:50:00,34
Surveillance,2024-09-14,03:09:00,17:05:00,5
Explosive Disposal,2024-11-08,12:32:00,09:33:00,19
Border Patrol,2025-01-09,02:28:00,09:49:00,34
Defense Setup,2024-06-20,05:44:00,08:57:00,30
Training Drill,2025-01-12,19:31:00,07:11:00,44
Defense Setup,2025-02-24,04:43:00,06:44:00,47
Intel Gathering,2024-10-13,02:11:00,22:47:00,45
Air Support,2024-07-24,16:50:00,11:27:00,15
Target Elimination,2024-09-15,12:47:00,09:21:00,38
Reconnaissance Mission,2024-11-04,10:38:00,13:30:00,31
Defense Setup,2024-06-09,17:26:00,15:29:00,44
Explosive Disposal,2024-10-24,17:37:00,02:15:00,27
Supply Drop,2025-02-19,16:54:00,11:22:00,9
Cyber Warfare Operation,2025-02-07,07:38:00,03:00:00,4
Defense Setup,2024-04-20,17:06:00,17:35:00,2
Rescue Operation,2025-02-04,17:34:00,06:12:00,13
Surveillance,2024-05-31,14:34:00,08:12:00,30
Defense Setup,2024-10-30,02:39:00,05:46:00,3
Intel Gathering,2024-10-17,07:22:00,18:27:00,12
Intel Gathering,2024-06-29,18:48:00,21:50:00,8
Rescue Operation,2024-05-06,22:21:00,05:02:00,45
Border Patrol,2024-05-07,21:21:00,10:58:00,13
Air Support,2025-01-08,14:21:00,23:29:00,9
Covert Infiltration,2024-05-01,13:17:00,05:09:00,45
Night Raid,2024-10-14,16:34:00,05:47:00,8
Reconnaissance Mission,2024-04-15,09:44:00,12:49:00,43
Intel Gathering,2024-09-10,02:17:00,12:11:00,6
Air Support,2025-01-22,11:36:00,06:20:00,27
Explosive Disposal,2025-01-03,12:23:00,11:08:00,15
Covert Infiltration,2024-08-21,04:15:00,12:08:00,35
Explosive Disposal,2024-05-27,06:50:00,18:18:00,49
Surveillance,2025-04-01,13:53:00,23:57:00,1
Air Support,2025-01-30,13:06:00,23:23:00,14
Intel Gathering,2024-07-05,12:31:00,13:14:00,45
Air Support,2024-06-09,18:34:00,12:44:00,42
Surveillance,2024-09-06,09:29:00,01:37:00,50
Night Raid,2024-12-28,19:26:00,08:36:00,38
Surveillance,2024-07-09,08:24:00,10:38:00,1
Explosive Disposal,2024-11-23,01:31:00,21:22:00,12
Supply Drop,2024-10-05,02:31:00,04:27:00,19
Rescue Operation,2024-06-18,16:53:00,23:45:00,35
Rescue Operation,2024-05-29,11:05:00,15:00:00,31
Intel Gathering,2024-12-24,09:38:00,06:59:00,24
Explosive Disposal,2024-08-14,23:59:00,17:36:00,9
Intel Gathering,2024-05-12,09:52:00,21:27:00,50
Training Drill,2025-01-25,05:46:00,06:52:00,37
Night Raid,2025-02-18,03:35:00,02:51:00,17
Reconnaissance Mission,2024-08-26,03:44:00,02:27:00,22
Surveillance,2024-11-24,16:50:00,14:17:00,40
Combat Exercise,2025-03-27,20:13:00,07:36:00,8
Rescue Operation,2024-04-29,23:13:00,04:49:00,18
Reconnaissance Mission,2025-03-03,17:20:00,13:06:00,39
Target Elimination,2024-05-16,15:55:00,12:50:00,30
Intel Gathering,2025-02-09,13:32:00,02:26:00,46
Surveillance,2024-07-28,10:07:00,05:22:00,25
Supply Drop,2024-08-11,06:33:00,06:01:00,43
Reconnaissance Mission,2025-01-16,00:36:00,14:21:00,50
Supply Drop,2024-07-19,23:11:00,02:03:00,19
Surveillance,2024-05-12,17:28:00,11:14:00,10
Night Raid,2024-09-22,16:55:00,08:56:00,26
Night Raid,2024-10-13,17:32:00,14:32:00,43
Reconnaissance Mission,2024-08-28,01:35:00,19:01:00,11
Air Support,2024-12-22,14:27:00,08:52:00,14
Target Elimination,2024-12-01,12:09:00,06:02:00,46
Cyber Warfare Operation,2024-04-24,23:45:00,00:18:00,26
Supply Drop,2024-11-29,15:13:00,03:07:00,11
Covert Infiltration,2024-12-01,10:19:00,15:06:00,31
Cyber Warfare Operation,2024-09-12,03:22:00,19:58:00,23
Explosive Disposal,2024-11-24,00:07:00,09:49:00,3
Covert Infiltration,2024-04-27,16:26:00,04:35:00,49
Intel Gathering,2024-06-17,22:09:00,18:14:00,36
Cyber Warfare Operation,2024-12-01,03:21:00,16:02:00,6
Explosive Disposal,2024-12-18,23:52:00,19:30:00,48
Surveillance,2024-07-11,10:03:00,00:31:00,19
Intel Gathering,2025-03-11,14:57:00,10:02:00,5
Explosive Disposal,2025-01-07,06:51:00,02:41:00,5
Defense Setup,2025-01-18,11:54:00,18:40:00,25
Border Patrol,2024-12-05,08:38:00,10:52:00,8
Combat Exercise,2024-12-02,13:31:00,18:44:00,14
Target Elimination,2024-09-12,07:54:00,06:28:00,48
Border Patrol,2025-02-15,22:46:00,03:21:00,24
Combat Exercise,2025-01-01,22:10:00,15:19:00,33
Border Patrol,2024-05-14,04:05:00,05:55:00,12
Supply Drop,2024-11-11,23:24:00,13:37:00,41
Border Patrol,2024-11-16,13:14:00,05:26:00,6
Border Patrol,2024-08-09,14:50:00,13:58:00,41
Air Support,2024-08-01,22:28:00,23:04:00,46
Covert Infiltration,2025-01-30,12:35:00,17:00:00,7
Target Elimination,2024-12-18,03:19:00,00:43:00,8
Target Elimination,2024-11-03,17:49:00,23:05:00,45
Covert Infiltration,2024-08-27,03:07:00,06:04:00,12
Surveillance,2024-05-21,18:57:00,07:54:00,26
Cyber Warfare Operation,2024-05-29,22:47:00,16:22:00,46
Combat Exercise,2024-09-23,04:22:00,11:48:00,14
Target Elimination,2025-03-17,15:26:00,03:16:00,19
Training Drill,2025-03-15,16:00:00,15:53:00,16
Border Patrol,2024-11-18,19:16:00,03:48:00,8
Rescue Operation,2024-11-05,01:25:00,12:51:00,4
Cyber Warfare Operation,2024-08-08,12:29:00,06:29:00,13
Training Drill,2024-06-12,15:31:00,11:27:00,6
Reconnaissance Mission,2024-09-29,00:54:00,12:58:00,6
Covert Infiltration,2025-01-29,02:41:00,00:30:00,46
Rescue Operation,2024-08-11,05:19:00,02:50:00,46
Explosive Disposal,2024-07-04,14:47:00,01:25:00,27
Border Patrol,2024-08-25,22:32:00,20:50:00,25
Intel Gathering,2024-11-04,21:21:00,18:50:00,36
Night Raid,2024-10-05,07:02:00,00:35:00,44
Cyber Warfare Operation,2025-02-18,10:51:00,12:56:00,12
Air Support,2024-09-01,05:28:00,10:58:00,7
Covert Infiltration,2024-12-01,18:59:00,00:39:00,6
Explosive Disposal,2024-04-05,12:49:00,11:24:00,3
Air Support,2024-04-22,06:33:00,21:32:00,1
Border Patrol,2024-10-11,02:59:00,10:14:00,19
Cyber Warfare Operation,2025-03-27,20:23:00,12:12:00,5
Combat Exercise,2024-07-14,02:12:00,13:30:00,49
Reconnaissance Mission,2024-12-16,11:57:00,14:32:00,2
Intel Gathering,2024-05-30,11:33:00,04:15:00,18
Night Raid,2024-07-09,23:24:00,23:29:00,49
Air Support,2024-06-22,01:36:00,12:19:00,18
Combat Exercise,2024-06-05,01:34:00,20:14:00,16
Air Support,2024-05-01,22:10:00,07:12:00,40
Defense Setup,2024-10-26,02:44:00,22:29:00,9
Supply Drop,2024-04-26,03:36:00,14:01:00,43
Border Patrol,2024-12-15,02:30:00,04:49:00,28
Explosive Disposal,2024-09-20,22:28:00,05:07:00,44
Night Raid,2024-08-08,20:31:00,11:44:00,46
Target Elimination,2024-08-21,10:59:00,21:26:00,15
